[06/12/17 22:44:34] 10 Sec, Wait 
[06/12/17 22:47:25] = LOOP 22
[06/12/17 22:47:26] = LOOP 22
[06/12/17 22:47:27] = LOOP 20
[06/12/17 22:47:28] = LOOP 25
[06/12/17 22:47:29] = LOOP 20
[06/12/17 22:47:30] = LOOP 27
[06/12/17 22:47:31] = LOOP 21
[06/12/17 22:47:32] = LOOP 16
[06/12/17 22:47:33] = LOOP 16
[06/12/17 22:47:34] = LOOP 20
[06/12/17 22:47:35] = LOOP 28
[06/12/17 22:47:37] = LOOP 25
[06/12/17 22:47:38] = LOOP 21
[06/12/17 22:47:39] = LOOP 27
[06/12/17 22:47:40] = LOOP 21
[06/12/17 22:47:41] = LOOP 25
[06/12/17 22:47:42] = LOOP 29
[06/12/17 22:47:43] = LOOP 22
[06/12/17 22:47:44] = LOOP 18
[06/12/17 22:47:45] = LOOP 20
[06/12/17 22:47:46] = LOOP 20
[06/12/17 22:47:47] = LOOP 24
[06/12/17 22:47:48] = LOOP 15
[06/12/17 22:47:49] = LOOP 22
[06/12/17 22:47:50] = LOOP 27
[06/12/17 22:47:51] = LOOP 21
[06/12/17 22:47:53] = LOOP 17
[06/12/17 22:47:54] = LOOP 17
[06/12/17 22:47:55] = LOOP 21
[06/12/17 22:47:56] = LOOP 26
[06/12/17 22:47:57] = LOOP 25
[06/12/17 22:47:58] = LOOP 27
[06/12/17 22:47:59] = LOOP 27
[06/12/17 22:48:00] = LOOP 20
[06/12/17 22:48:01] = LOOP 20
[06/12/17 22:48:02] = LOOP 16
[06/12/17 22:48:03] = LOOP 17
[06/12/17 22:48:04] = LOOP 17
[06/12/17 22:48:05] = LOOP 14
[06/12/17 22:48:06] = LOOP 25
[06/12/17 22:48:07] = LOOP 17
[06/12/17 22:48:08] = LOOP 16
[06/12/17 22:48:09] = LOOP 25
[06/12/17 22:48:10] = LOOP 23
[06/12/17 22:48:11] = LOOP 29
[06/12/17 22:48:12] = LOOP 20
[06/12/17 22:48:13] = LOOP 22
[06/12/17 22:48:14] = LOOP 26
[06/12/17 22:48:16] = LOOP 22
[06/12/17 22:48:17] = LOOP 25
[06/12/17 22:48:18] = LOOP 23
[06/12/17 22:48:19] = LOOP 17
[06/12/17 22:48:20] = LOOP 17
[06/12/17 22:48:21] = LOOP 24
[06/12/17 22:48:22] = LOOP 31
[06/12/17 22:48:23] = LOOP 30
[06/12/17 22:48:24] = LOOP 24
[06/12/17 22:48:25] = LOOP 28
[06/12/17 22:48:26] = LOOP 20
[06/12/17 22:48:27] = LOOP 21
[06/12/17 22:48:28] = LOOP 21
[06/12/17 22:48:30] = LOOP 18
[06/12/17 22:48:31] = LOOP 22
[06/12/17 22:48:32] = LOOP 21
[06/12/17 22:48:33] = LOOP 29
[06/12/17 22:48:34] = LOOP 20
[06/12/17 22:48:35] = LOOP 20
[06/12/17 22:48:36] = LOOP 23
[06/12/17 22:48:37] = LOOP 21
[06/12/17 22:48:38] = LOOP 26
[06/12/17 22:48:39] = LOOP 20
[06/12/17 22:48:40] = LOOP 17
[06/12/17 22:48:41] = LOOP 17
[06/12/17 22:48:42] = LOOP 34
[06/12/17 22:48:43] = LOOP 19
[06/12/17 22:48:44] = LOOP 19
[06/12/17 22:48:45] = LOOP 22
[06/12/17 22:48:46] = LOOP 17
[06/12/17 22:48:47] = LOOP 21
[06/12/17 22:48:48] = LOOP 19
[06/12/17 22:48:49] = LOOP 16
[06/12/17 22:48:50] = LOOP 19
[06/12/17 22:48:51] = LOOP 15
[06/12/17 22:48:52] = LOOP 20
[06/12/17 22:48:53] = LOOP 16
[06/12/17 22:48:54] = LOOP 16
[06/12/17 22:48:55] = LOOP 23
[06/12/17 22:48:56] = LOOP 24
[06/12/17 22:48:57] = LOOP 20
[06/12/17 22:48:58] = LOOP 19
[06/12/17 22:48:59] = LOOP 30
[06/12/17 22:49:00] = LOOP 22
[06/12/17 22:49:01] = LOOP 24
[06/12/17 22:49:02] = LOOP 23
[06/12/17 22:49:03] = LOOP 17
[06/12/17 22:49:05] = LOOP 21
[06/12/17 22:49:06] = LOOP 26
[06/12/17 22:49:07] = LOOP 16
[06/12/17 22:49:08] = LOOP 20
[06/12/17 22:49:09] = LOOP 16
[06/12/17 22:49:10] = LOOP 26
[06/12/17 22:49:11] = LOOP 20
[06/12/17 22:49:12] = LOOP 21
[06/12/17 22:49:13] = LOOP 24
[06/12/17 22:49:14] = LOOP 26
[06/12/17 22:49:15] = LOOP 30
[06/12/17 22:49:16] = LOOP 27
[06/12/17 22:49:17] = LOOP 36
[06/12/17 22:49:18] = LOOP 32
[06/12/17 22:49:19] = LOOP 36
[06/12/17 22:49:21] = LOOP 25
[06/12/17 22:49:22] = LOOP 29
[06/12/17 22:49:23] = LOOP 22
[06/12/17 22:49:24] = LOOP 21
[06/12/17 22:49:25] = LOOP 29
[06/12/17 22:49:26] = LOOP 21
[06/12/17 22:49:27] = LOOP 18
[06/12/17 22:49:28] = LOOP 31
